,file,page
710,SC.2018.00065,12
711,3290350,18
712,779359.779360,1
713,3276511,26
714,3360557,6
715,3338906.3338916,6
716,3133934,7
717,3434314,14
718,569147.569151,4
719,3293882.3330550,5
720,3230543.3230564,9
721,3485508,16
722,3341697,1
723,3276516,13
724,2669372,1
725,ICSE.2019.00067,52
726,3158116,12
727,3468264.3468542,2
728,3314221.3314600,12
729,ICSE.2019.00123,8
730,3385412.3386015,6
731,3460319.3464827,0
732,3360571,17
733,3428279,26
734,3477132.3483563,2
735,210232.210235,0
736,3453483.3454094,3
737,3133899,4
738,3395363.3397380,11
739,3371100,9
740,3368089.3409743,2
741,178365.178391,0
742,3473587,10
743,ICSE.2019.00072,39
744,1824801.1824812,12
745,232826.232846,8
746,3452296.3473336,3
747,3290382,19
748,3445814.3446743,2
749,3452296.3472902,0
750,3276508,2
751,3290376,12
752,2513109.2513117,11
753,3133899,29
754,3385412.3385966,14
755,305658.305737,0
756,2450153.2450159,0
757,ICSE.2019.00067,51
758,3377811.3380385,10
759,3133895,20
760,3290319,0
761,3445814.3446730,12
762,358407.358424,17
763,3360576,21
764,2898349,8
765,3434336,6
766,3236780,10
767,3274808.3274825,2
768,3468264.3468626,0
769,3371109,26
770,214392.214393,9
771,347837.347852,15
772,SC.2018.00004,0
773,1916461.1916470,10
774,3126908.3126948,11
775,3368089.3409757,10
776,3385412.3386004,1
777,3453483.3454039,3
778,3110277,28
779,3453483.3454041,4
780,3332466.3374547,25
781,3341301.3359652,11
782,2168773.2168780,7
783,3445814.3446754,11
784,3428279,23
785,3293882.3330577,6
786,1163641.1163646,3
787,1824801.1824814,4
788,3158142,14
789,3133928,0
790,3133902,4
791,1527286.1527291,25
792,3428208,27
793,3290370,14
794,3428288,23
795,3395363.3397385,7
796,214392.214395,13
797,3332466.3374537,1
798,569147.569151,13
799,3158116,29
800,3446804.3446846,5
801,3437801.3441617,6
802,3408982,13
803,3395363.3397385,9
804,3110277,7
805,3072959.2983617,13
806,2699467,7
807,3338906.3338916,2
808,3211332.3211334,11
809,3428217,10
810,3368089.3409679,5
811,3357766.3359545,9
812,3428217,26
813,3434314,13
814,3387902.3392630,7
815,3477132.3483541,9
816,356012.356018,11
817,3453483.3454041,21
818,3236795,12
819,1067967.1067970,7
820,3236024.3236025,2
821,3136014.3136032,7
822,2882903.2882961,6
823,3360568,1
824,3445814.3446730,0
825,3385412.3385991,4
826,3377811.3380409,0
827,3158096,7
828,3434286,8
829,3377811.3380348,13
830,3168824,2
831,3468264.3468542,3
832,3290376,29
833,ICSE.2019.00067,30
834,1527286.1527291,23
835,3360557,26
836,3158141,29
837,3452296.3472905,18
838,3371100,24
839,3434336,16
840,3453483.3454102,1
841,3477132.3483558,11
842,232826.232856,1
843,SC.2018.00072,11
844,2616971,15
845,1055531.1055538,6
846,ICSE.2019.00123,0
847,3477132.3483585,9
848,ICSE.2019.00123,10
849,3452296.3473336,13
850,3477132.3483549,8
851,3460319.3464807,6
852,SC.2018.00035,7
853,3360546,23
854,3360558,20
855,3295500.3356178,14
856,3236024.3236061,13
857,3428279,28
858,2700586,15
859,3158116,0
860,3428212,26
861,3445814.3446736,9
862,2882903.2882961,10
863,3276511,1
864,3092703.3092722,2
865,3453483.3454092,7
866,3468264.3468578,1
867,3426428.3426917,1
868,3428279,4
869,3377811.3380348,15
870,SC.2018.00049,8
871,279232.279234,19
872,3428220,4
873,3295500.3356178,25
874,232826.232856,3
875,3178487.3178514,6
876,3468264.3468589,4
877,3477132.3483585,1
878,3453483.3454090,14
879,3360571,0
880,ICSE.2019.00075,10
881,3371077,2
882,347837.347852,0
883,1391989.1404581,14
884,3236794,3
885,3236024.3236026,10
886,3290370,12
887,3434286,11
888,3437992.3439931,0
889,3386367.3431297,0
890,3314221.3314600,9
891,3290319,24
892,3428220,3
893,3230543.3230560,8
894,353474.353484,8
895,3428208,15
896,3290382,15
897,3368089.3409726,4
898,3453483.3454055,14
899,3386367.3431315,5
900,138351.138378,8
901,3385412.3386010,0
902,3371103,26
903,3428217,1
904,ICSE.2019.00067,35
905,3368089.3409703,6
906,3485542,30
907,3406088.3409019,1
908,3371077,17
909,3468264.3468570,4
910,3453483.3454105,4
911,3155338,0
912,1391989.1404581,16
913,3341301.3359646,14
914,3395363.3397360,11
915,3236024.3236041,0
916,3360579,11
917,3341642,4
918,3452296.3472905,6
919,347837.347852,13
920,3437801.3441592,5
921,3377811.3380372,0
922,3360568,16
923,3452296.3472898,1
924,210089.210091,23
925,3453483.3454039,14
926,3434286,19
927,3368089.3409668,0
928,3368089.3409668,5
929,2669372,11
930,3477132.3483579,10
931,ICSE.2019.00108,7
932,3360558,0
933,3276511,3
934,3384441.3395990,9
935,3485478,15
936,3168818,0
937,3453483.3454055,20
938,3133895,11
939,3368089.3409723,5
940,3447786.3456255,11
941,3341301.3359638,11
942,ICSE.2019.00075,3
943,3295500.3356178,12
944,3168813,1
945,1236463.1236469,3
946,3397537.3397550,0
947,3304109.3306222,26
948,3377811.3380372,4
949,3072959.3054739,0
950,3158103,18
951,3095076,5
952,3428217,5
953,3437992.3439931,5
954,3126908.3126948,6
955,2898349,19
956,353474.353484,3
957,1916461.1916470,8
958,3428288,2
959,3293883.3295711,9
960,3192366.3192400,6
961,3452296.3472898,27
962,3385412.3386004,10
963,2890491,22
964,3384441.3395983,0
965,3466752.3480117,13
966,3061664,13
967,3461648.3463852,5
968,1236463.1236469,4
969,3192366.3192410,5
970,3341301.3359646,0
971,178365.178391,9
972,3200921.3200931,4
973,ICSE.2019.00067,9
974,3485520,24
975,3155338,6
976,3387902.3392630,0
977,3385412.3385981,4
978,174603.174407,0
979,3385412.3386019,9
980,3360589,5
981,3485542,19
982,3471874.3472984,7
983,3373376.3378473,7
984,3371077,12
985,3428217,13
986,CGO51591.2021.9370317,2
987,3155338,13
988,3385412.3386010,11
989,3365438.3410964,0
990,3452296.3473336,5
991,200979.200987,3
992,3371109,0
993,3290381,27
994,151271.151277,8
995,3290362,2
996,3338906.3338956,9
997,2168773.2168780,12
998,3332466.3374547,19
999,3371103,3
1000,ICSE.2019.00030,11
1001,3485531,6
1002,3434286,16
1003,3428212,19
1004,3485523,4
1005,3395351.3399343,5
1006,3158141,27
1007,3445814.3446709,10
1008,3192366.3192402,5
1009,232826.232846,11
1010,3290331,21
1011,3314221.3314596,0
1012,3460319.3464841,8
1013,3386367.3431315,12
1014,326147.326153,10
1015,3477132.3483585,0
1016,3293882.3330550,10
1017,ICSE.2019.00072,15
1018,3368826.3377913,13
1019,1527286.1527291,0
1020,3372885.3373835,10
1021,3371136,16
1022,3452296.3472898,23
1023,3341703,26
1024,3466752.3480063,5
1025,3178487.3178514,10
1026,3485478,5
1027,3368089.3409755,4
1028,3092703.3092723,19
1029,3110256,12
1030,3434336,12
1031,3453483.3454039,9
1032,3453483.3454094,8
1033,2699471,21
1034,3453483.3454112,12
1035,3486601.3486707,7
1036,3295500.3356178,23
1037,3341301.3359640,14
1038,3133894,10
1039,ICSE.2019.00067,12
1040,3477132.3483579,13
1041,3428220,10
1042,ICSE.2019.00067,28
1043,131766.131772,1
1044,3341301.3359629,4
1045,3466752.3480122,15
1046,3468264.3468598,11
1047,3377813.3381358,9
1048,3477132.3483541,7
1049,3434286,21
1050,3236794,12
1051,3377813.3381358,5
1052,3276511,0
1053,3477132.3483549,9
1054,ICSE.2019.00125,0
1055,3377811.3380438,11
1056,1356052.1356057,1
1057,305658.287652,4
1058,210089.210090,1
1059,3428208,9
1060,3468264.3468598,1
1061,3290368,23
1062,3428220,27
1063,3453483.3454090,2
1064,3428212,1
1065,356012.356018,3
1066,2818313,14
1067,63522.214390,1
1068,3371103,14
1069,3133850.3133851,2
1070,3236024.3236025,1
1071,3408985,18
1072,3437801.3441592,2
1073,3158096,20
1074,3293883.3295726,11
1075,3293882.3330550,8
1076,3178487.3178514,3
1077,3360597,3
1078,3192366.3192410,6
1079,ICSE.2019.00067,6
1080,3452296.3472913,0
1081,3453483.3454041,11
1082,3360571,13
1083,3428217,3
1084,279232.279234,7
1085,CGO51591.2021.9370337,11
1086,3133928,1
1087,3477132.3483585,12
1088,285861.285866,4
1089,3477132.3483549,5
1090,63522.214390,7
1091,3485482,2
1092,155743.155767,16
1093,3395363.3397385,4
1094,3485488,3
1095,3434322,18
1096,3466752.3480061,13
1097,285861.285866,3
1098,3290331,11
1099,3466752.3480114,5
1100,3445814.3446765,2
1101,3332466.3374547,26
1102,3290331,3
1103,3466752.3480114,0
1104,3155744,4
1105,ICSE.2019.00067,5
1106,3236795,9
1107,3434311,20
1108,3477132.3483579,8
1109,3428258,22
1110,3437801.3441617,7
1111,3083187.3083218,2
1112,203082.203088,1
1113,3290350,8
1114,3466752.3480114,6
1115,3373376.3378455,5
1116,3434330,7
1117,SC.2018.00072,12
1118,3213846.3213851,6
1119,3377811.3380348,1
1120,3385412.3385966,15
1121,3453483.3454068,6
1122,3485542,27
1123,3434305,27
1124,3314221.3314596,7
1125,2818313,5
1126,1391989.1404581,5
1127,3110277,4
1128,2513109.2513117,2
1129,3385412.3386015,5
1130,3453483.3454041,16
1131,3360558,11
1132,3428279,10
1133,3178487.3178489,9
1134,3385412.3386004,4
1135,3468264.3468578,0
1136,3453483.3454041,1
1137,3290368,5
1138,3368089.3409743,8
1139,SC.2018.00049,4
1140,3236024.3236073,0
1141,3377811.3380384,8
1142,3386367.3431297,8
1143,3452296.3473336,4
1144,SC.2018.00065,6
1145,3453483.3454094,7
1146,3485542,3
1147,3485488,15
1148,3133899,21
1149,3368089.3409748,7
1150,ICSE.2019.00108,9
1151,3453483.3454105,8
1152,3072959.3054739,10
1153,356022.356027,18
1154,3468264.3468596,1
1155,3236024.3236041,4
1156,1141885.1141895,14
1157,3236024.3236029,7
1158,3290319,10
1159,3133934,24
1160,356022.356027,4
1161,3371117,7
1162,3471874.3472984,9
1163,SC.2018.00065,9
1164,3460319.3464834,10
1165,3136014.3136037,3
1166,3158096,17
1167,3434336,18
1168,3338906.3338909,2
1169,1356052.1356057,9
1170,3460319.3464807,2
1171,3095076,11
1172,3447786.3456260,10
1173,3281411.3281432,4
1174,3236024.3236061,7
1175,3377811.3380348,5
1176,3473599,7
1177,3377555.3377888,8
1178,3157735,16
1179,3360571,10
1180,3485523,12
1181,3434336,11
1182,3371100,8
1183,3437801.3441617,13
1184,3290381,20
1185,3377811.3380384,2
1186,3230543.3230560,6
1187,1268769.1268774,24
1188,3368089.3409758,3
1189,3204949.3204964,2
1190,3236024.3236026,7
1191,3395363.3397348,10
1192,347837.347852,6
1193,3453483.3454072,12
1194,3385412.3385966,5
1195,3466752.3480131,0
1196,3368089.3409700,10
1197,1268769.1268774,3
1198,2669372,8
1199,3453483.3454055,13
1200,3295500.3356178,5
1201,178365.178391,18
1202,3385412.3386015,8
1203,3485523,13
1204,3360558,8
1205,3236794,5
1206,358407.358427,11
1207,3360568,20
1208,3290372,12
1209,3371109,29
1210,225545.225553,8
1211,357456.357462,2
1212,3373376.3378480,1
1213,3387902.3392634,1
1214,3341301.3359632,14
1215,3428220,0
1216,3290381,2
1217,1356052.1356057,0
1218,3204949.3204953,13
1219,3371134,11
1220,3276499,15
1221,1391989.1391995,12
1222,3360597,0
1223,3236780,19
1224,3386367.3431315,6
1225,3368089.3409726,2
1226,2834115,20
1227,2845076,8
1228,3293883.3295711,1
1229,2168773.2168779,9
1230,3213846.3213872,7
1231,3485514,18
1232,3192366.3192402,7
1233,3133902,0
1234,3485478,9
1235,3485514,9
1236,3434314,24
1237,3274808.3274825,1
1238,3236024.3236041,3
1239,3453483.3454090,15
1240,3204949.3204953,27
1241,3385412.3385991,2
1242,3276516,18
1243,3428217,23
1244,3371109,15
1245,358407.358427,2
1246,ICSE.2019.00046,3
1247,3360579,12
1248,3360568,0
1249,3428220,26
1250,3083187.3083210,1
1251,3408988,22
1252,SC.2018.00049,6
1253,3468264.3468542,7
1254,3477132.3483550,0
1255,3447786.3456255,9
1256,3290372,20
1257,3485488,6
1258,3395363.3397348,1
1259,ICSE.2019.00125,4
1260,3386367.3431315,10
1261,3385412.3385966,3
1262,3293883.3295711,6
1263,326147.326153,11
1264,3236781,2
1265,3434305,9
1266,3360576,26
1267,3341301.3359629,5
1268,1163641.1163646,4
1269,2818313,7
1270,2513109.2513117,18
1271,3368089.3409748,11
1272,1039813.1039820,5
1273,3092703.3092723,5
1274,3365438.3410943,8
1275,3485508,24
1276,3485503,8
1277,3368089.3409745,0
1278,3290372,9
1279,ICSE.2019.00072,9
1280,3428217,14
1281,3485482,9
1282,3276528,4
1283,1236463.1236469,22
1284,3236024.3236041,10
1285,3453483.3454041,29
1286,3453483.3454090,1
1287,3133902,23
1288,3211332.3211334,13
1289,3485521,25
1290,3365438.3410964,3
1291,3276604.3276618,3
1292,3133899,8
1293,3236794,9
1294,3158103,10
1295,3341301.3359659,3
1296,2669372,7
1297,356012.356018,17
1298,3276532,9
1299,3371109,1
1300,1391989.1404581,4
1301,3434305,7
1302,3437801.3441592,4
1303,3445814.3446736,3
